"","BB-1","BB-2","BB-3","BB-4","GR-1","GR-2","GR-3","GR-4","MT-1","MT-2","MT-3","MT-4","YS-1","YS-2","YS-3","YS-4"
"Label","BB","BB","BB","BB","GR","GR","GR","GR","MT","MT","MT","MT","YS","YS","YS","YS"
"4-Terpinyl acetate","0.000023600","0.000062100","0.000004770","0.000005260","0.000024300","0.000037500","0.000034200","0.000044500","0.000177800","0.000143508","0.000489210","0.000401352","0.001911184","0.001709370","0.001143460","0.001015080"
"5-Butylhexadecane","0.000241083","0.000011000","0.000000456","0.000002280","0.000037900","0.000000456","0.000000456","0.000000456","0.000021100","0.000007330","0.000003310","0.000003720","0.000008360","0.000004360","0.000000456","0.000004080"
"7-Methyl-1-octene","0.000104124","0.000367307","0.000190251","0.000575220","0.003327007","0.006656969","0.003462042","0.014674640","0.001377983","0.002496742","0.001487634","0.001792504","0.000168565","0.000317772","0.000517673","0.000999012"
"Acetic acid_ hexyl ester","0.000141435","0.000184217","0.000937752","0.000165528","0.000479483","0.000052400","0.001832518","0.000062800","0.000026900","0.000026800","0.000015900","0.000007720","0.000202198","0.000019800","0.000535498","0.000028400"
"alpha-Caryophyllene","0.002237826","0.002951356","0.003768851","0.003348114","0.002322976","0.001553885","0.002159778","0.001734022","0.006858400","0.009838863","0.010760640","0.013430590","0.002418688","0.002916047","0.002020712","0.003200968"
"alpha-Cubebene","0.002319405","0.002731249","0.002372170","0.002099817","0.001356113","0.001306935","0.002044801","0.002129433","0.002028393","0.002156409","0.001520634","0.001712684","0.002452466","0.002919111","0.002856876","0.002990741"
"alpha-Farnesene","0.007245774","0.006379344","0.012764400","0.011858720","0.003108173","0.001437953","0.012118380","0.008172256","0.002699934","0.014124040","0.003772980","0.001190037","0.027154810","0.036503240","0.030027310","0.030483420"
"alpha-Muurolene","0.015660220","0.018420620","0.024590070","0.017315460","0.010826120","0.010016880","0.015814680","0.011898040","0.013482860","0.011441390","0.012042230","0.010690100","0.014024570","0.019226820","0.018238870","0.008158579"
"alpha-Phellandrene","0.000014900","0.002996302","0.001761679","0.002520925","0.000943323","0.002822884","0.000947266","0.003451194","0.001316960","0.002203554","0.001147363","0.002019722","0.001666241","0.000996719","0.000822750","0.000973246"
"alpha-Terpinene","0.001059647","0.005802588","0.001186998","0.004744541","0.003065909","0.009309017","0.003589543","0.012879340","0.008671892","0.009425192","0.012663700","0.013884220","0.026403900","0.016276190","0.014519210","0.012860840"
"alpha-Terpineol","0.000030700","0.000137897","0.001220931","0.001281841","0.002444158","0.000677225","0.001473494","0.000248463","0.003081031","0.000843251","0.005710901","0.004519394","0.000826512","0.000558648","0.001448061","0.000691739"
"alpha-Thujene","0.000486476","0.014909380","0.004984272","0.010214410","0.001590515","0.018536660","0.008556481","0.018411700","0.001958080","0.017773730","0.011337460","0.009419258","0.002047053","0.010227230","0.007003586","0.002364285"
"Artemisia ketone","0.079342710","0.076409540","0.000013100","0.000190328","0.000766557","0.000006390","0.000031000","0.000015400","0.000045800","0.000055900","0.000014000","0.000020100","0.000029400","0.000009330","0.000012100","0.000020700"
"Artemisia triene","0.000118384","0.000030900","0.000010500","0.000014200","0.000469451","0.000043100","0.000023400","0.000052800","0.000219298","0.000033400","0.000028300","0.000017400","0.000202090","0.000009190","0.000013600","0.000014100"
"beta cubebene","0.002065555","0.002752905","0.002906050","0.002204339","0.001376299","0.001480256","0.002552163","0.002769535","0.001957144","0.001945741","0.001577799","0.002025495","0.002242911","0.002670466","0.002821266","0.003155632"
"beta-Bourbonene","0.000217269","0.000420915","0.000265595","0.000241610","0.000120883","0.000167981","0.000859651","0.001172673","0.000378997","0.000568775","0.000536032","0.000751374","0.000196344","0.000266169","0.000244294","0.000354152"
"beta-Cadinene","0.002508340","0.017025090","0.012361610","0.009099202","0.009931789","0.006893841","0.011388250","0.009425862","0.016837720","0.012097220","0.009145248","0.008879405","0.018252880","0.020816150","0.016173610","0.017264760"
"beta-Calarene","0.007238125","0.009586677","0.009307599","0.008026246","0.004672854","0.004846631","0.007846453","0.007898930","0.006984486","0.006962191","0.005635235","0.001160099","0.008357199","0.010157200","0.009875095","0.001804752"
"beta-cis-Ocimene","0.001710480","0.001476546","0.000998388","0.000771060","0.000000616","0.000640545","0.000191209","0.000003080","0.002246537","0.000132983","0.006400893","0.002753359","0.001803991","0.000940254","0.000526312","0.000008500"
"beta-Myrcene","0.001302753","0.007487385","0.006250872","0.005775986","0.006143610","0.009828110","0.002062493","0.003947181","0.009429077","0.007427039","0.009698753","0.008306465","0.001278450","0.000990476","0.001954528","0.002579205"
"beta-Patchoulene","0.000188044","0.000225162","0.000216426","0.000154799","0.000147345","0.000128470","0.000168172","0.000195709","0.000191513","0.000179008","0.000151774","0.000148612","0.000220356","0.000251510","0.000228086","0.000268114"
"beta-Phellandrene","0.001211943","0.008923554","0.005350387","0.008133927","0.052400660","0.123379100","0.013656070","0.029762640","0.021079850","0.031715520","0.013201500","0.034055010","0.041336070","0.032478960","0.096065520","0.052639480"
"beta-Pinene","0.001522426","0.000819492","0.003108713","0.008742671","0.034979160","0.025438370","0.019920540","0.019446710","0.026619850","0.012509040","0.033233720","0.029051770","0.018242830","0.014582350","0.022146570","0.023366380"
"beta-Thujone","0.004389372","0.030970460","0.095667550","0.137863000","0.000298099","0.000338420","0.004147179","0.001119514","0.130385300","0.084287760","0.019216540","0.020115600","0.000584532","0.000564861","0.030491160","0.027079810"
"Butyric acid","0.000054200","0.000054200","0.000116020","0.000069900","0.000807997","0.000152125","0.000214451","0.000065500","0.000028200","0.000014100","0.000070600","0.000022300","0.000100883","0.000008490","0.000126342","0.000023000"
"Camphene","0.000133418","0.002337376","0.000920092","0.001363439","0.036067440","0.041880470","0.008712748","0.017651840","0.018889890","0.016604480","0.034417440","0.034349090","0.001331209","0.013980960","0.009930421","0.012126130"
"Camphor","0.000044500","0.000170386","0.000364643","0.000111900","0.034841080","0.007124756","0.015041390","0.003195435","0.004956026","0.000921599","0.100739600","0.078858940","0.014165180","0.011549640","0.009415382","0.006717683"
"Umulene","0.003713197","0.006558351","0.009206694","0.008839855","0.006420436","0.006474555","0.004400607","0.004715019","0.018387990","0.028754960","0.031478590","0.040950820","0.004220719","0.005780843","0.004509554","0.006127413"
"Caryophyllene oxide","0.000064300","0.000112974","0.000068700","0.000072400","0.000208605","0.000218890","0.000189647","0.000354690","0.000144224","0.000054200","0.000224659","0.000338272","0.000082800","0.000143491","0.000146540","0.000256873"
"Cedrene","0.012840190","0.014666010","0.001166584","0.000856548","0.007109106","0.005285601","0.001061723","0.009066029","0.011710510","0.009389643","0.000526292","0.009491598","0.013820530","0.016069110","0.001050421","0.016517860"
"cis-3-Hexenyl valerate","0.000021900","0.000351564","0.000075200","0.000132717","0.000255965","0.000082900","0.000940516","0.000143098","0.000046900","0.000046700","0.000147121","0.000027500","0.015114960","0.002246552","0.017979030","0.000467226"
"cis-9-Hexadecenal","0.011738610","0.000064900","0.000006780","0.000019800","0.000102439","0.000069700","0.000025700","0.000052700","0.000024400","0.000037600","0.000013400","0.000016500","0.000027400","0.000027400","0.000018000","0.000008650"
"beta-Caryophyllene","0.000063800","0.000109015","0.000086400","0.000064000","0.000091700","0.000078300","0.000069300","0.000105470","0.000093000","0.000091100","0.000084600","0.000104791","0.000069200","0.000073300","0.000080700","0.000043000"
"cis-Hexanoic acid","0.000009270","0.000050700","0.000298200","0.000032900","0.000044300","0.000058000","0.000031300","0.000044700","0.000028100","0.000266289","0.000179883","0.000026300","0.000442238","0.000498768","0.000147674","0.000080200"
"cis-Myrtenal","0.000009920","0.000042600","0.000261712","0.000072400","0.000097500","0.000183644","0.000061300","0.000068600","0.000063900","0.000008990","0.000131912","0.000023700","0.000181072","0.000247767","0.000371637","0.000012400"
"cis-Verbenol","0.000048500","0.000245619","0.000116595","0.000403775","0.000041600","0.000048100","0.000378312","0.000052200","0.000335451","0.000629979","0.000043000","0.000085900","0.000092100","0.000032500","0.000136518","0.000116603"
"Copaene","0.009039821","0.013075190","0.012719530","0.011170800","0.020651760","0.027150580","0.036120190","0.045228470","0.009562045","0.010512360","0.007818102","0.009043645","0.011881470","0.014460770","0.012197870","0.014300230"
"Cosmene","0.000048800","0.000104839","0.000059300","0.000050100","0.000116517","0.000086600","0.000052800","0.000074400","0.000366064","0.000100320","0.000438315","0.000263517","0.000032500","0.000025000","0.000056100","0.000064200"
"Cubenene","0.005580317","0.007684492","0.009651267","0.007125574","0.001781913","0.002936562","0.007007137","0.006365785","0.006615049","0.005165947","0.005654281","0.005740199","0.008244145","0.010433790","0.010409290","0.010885020"
"Cyclotetradecane","0.001467007","0.000024400","0.000029400","0.000016400","0.000348325","0.000069100","0.000066600","0.000055700","0.000077700","0.000025300","0.000029600","0.000022600","0.000027900","0.000040900","0.000041200","0.000049400"
"Dehydrosabinene","0.000042900","0.000148502","0.000131845","0.000111705","0.000143373","0.000291046","0.000152879","0.000164868","0.000338549","0.000338475","0.000461440","0.000253487","0.001523292","0.000563293","0.000789299","0.000417944"
"delta-Cadinene","0.003933253","0.065866660","0.059149270","0.052717090","0.028211670","0.027650940","0.050339180","0.048304260","0.051760530","0.047004260","0.040313430","0.002181282","0.063454320","0.076980960","0.072411510","0.004678003"
"delta-EIemene","0.000993494","0.001860124","0.002698743","0.001798034","0.000266447","0.000182991","0.000514046","0.000353894","0.000442766","0.000331043","0.000364778","0.000005770","0.000495417","0.000580756","0.000616197","0.000007490"
"D-Pinocamphone","0.000052900","0.000108684","0.000468898","0.000069200","0.000082500","0.000116572","0.000056700","0.000083800","0.000068700","0.000084800","0.000195142","0.000430615","0.000519542","0.000971687","0.000635698","0.001112676"
"Epizonarene","0.000157227","0.002287003","0.002087834","0.001419543","0.001164078","0.000909114","0.001507565","0.001382334","0.002180497","0.001396250","0.001384622","0.001140834","0.002346721","0.002765581","0.002519344","0.000199144"
"Ethyl isovalerate","0.000050900","0.000166572","0.000013800","0.000056700","0.000076900","0.000240803","0.000061400","0.000200368","0.000046200","0.000077000","0.000034700","0.000062000","0.000176535","0.000574713","0.000136496","0.000529695"
"Eucalyptol","0.000867245","0.000482844","0.009636413","0.002495119","0.089537240","0.016783190","0.049997040","0.012434230","0.019670510","0.002919056","0.081243740","0.066949040","0.071860310","0.059335180","0.002161779","0.094127710"
"exo-2-Hydroxycineole","0.000193367","0.000049000","0.000011400","0.000023200","0.000085100","0.000035300","0.000061400","0.000028800","0.000036600","0.000054400","0.000031100","0.000082500","0.000248291","0.000035300","0.000121715","0.000099700"
"gamma-Cadinene","0.058056870","0.000861760","0.034607510","0.031825370","0.028547450","0.015889050","0.028947510","0.064411410","0.000761967","0.026274550","0.023160590","0.051104580","0.036093210","0.042977930","0.042013940","0.001149895"
"gamma-Selinene","0.000319425","0.000387082","0.000417776","0.000323829","0.000208259","0.001233984","0.000310741","0.000315901","0.000348712","0.000348926","0.000269114","0.000111103","0.000432062","0.000475438","0.000453847","0.000294516"
"Germacrene D","0.05805687","0.07456509","0.07687725","0.05715888","0.02805549","0.03214378","0.05334758","0.06368232","0.05214134","0.05390341","0.03983742","0.05063297","0.06509704","0.08066855","0.07854941","0.08778577"
"Guaiol","0.000074400","0.000046000","0.000004640","0.000022200","0.000043900","0.000014200","0.000014700","0.000050800","0.000715899","0.000307247","0.000013000","0.000024600","0.000032300","0.000024300","0.000031400","0.000037000"
"Z-11-Hexadecenoic acid","0.000734155","0.000049700","0.000012300","0.000014900","0.000375677","0.000061000","0.000023000","0.000058600","0.000019700","0.000037700","0.000021000","0.000015800","0.000023800","0.000028300","0.000023500","0.000022000"
"Hexyl isovalerate","0.000007360","0.000012300","0.000005810","0.000006940","0.000032400","0.000013600","0.000021300","0.000008410","0.000013500","0.000010600","0.000009110","0.000013200","0.000270133","0.000044500","0.000120138","0.000011100"
"Isobornyl formate","0.000013900","0.000052500","0.000016400","0.000046500","0.000047800","0.000094500","0.000019500","0.000049200","0.000424442","0.000247901","0.001350845","0.000461507","0.001107590","0.000562172","0.001241043","0.000511012"
"Isopulegyl acetate","0.000019900","0.000209967","0.000030300","0.000512831","0.000044100","0.000071900","0.000049500","0.000078500","0.000262788","0.000122175","0.000029100","0.000024000","0.000030100","0.000030500","0.000070800","0.000024000"
"L-Borneol","0.003769943","0.001286675","0.000040800","0.000586787","0.000027900","0.000029800","0.000043500","0.000061700","0.000345364","0.000647372","0.000045600","0.000114620","0.000010700","0.000237250","0.000014100","0.000202137"
